,date,timestamp,value
0,"Jan 1, 2021",2021-01-01,39
1,"Jan 2, 2021",2021-01-02,64
2,"Jan 3, 2021",2021-01-03,75
3,"Jan 4, 2021",2021-01-04,64
4,"Jan 5, 2021",2021-01-05,54
5,"Jan 6, 2021",2021-01-06,58
6,"Jan 7, 2021",2021-01-07,87
7,"Jan 8, 2021",2021-01-08,87
8,"Jan 9, 2021",2021-01-09,67
9,"Jan 10, 2021",2021-01-10,68
10,"Jan 11, 2021",2021-01-11,100
11,"Jan 12, 2021",2021-01-12,77
12,"Jan 13, 2021",2021-01-13,60
13,"Jan 14, 2021",2021-01-14,64
14,"Jan 15, 2021",2021-01-15,59
15,"Jan 16, 2021",2021-01-16,47
16,"Jan 17, 2021",2021-01-17,43
17,"Jan 18, 2021",2021-01-18,42
18,"Jan 19, 2021",2021-01-19,43
19,"Jan 20, 2021",2021-01-20,39
20,"Jan 21, 2021",2021-01-21,47
21,"Jan 22, 2021",2021-01-22,54
22,"Jan 23, 2021",2021-01-23,37
23,"Jan 24, 2021",2021-01-24,31
24,"Jan 25, 2021",2021-01-25,36
25,"Jan 26, 2021",2021-01-26,34
26,"Jan 27, 2021",2021-01-27,38
27,"Jan 28, 2021",2021-01-28,40
28,"Jan 29, 2021",2021-01-29,60
29,"Jan 30, 2021",2021-01-30,44
30,"Jan 31, 2021",2021-01-31,36
31,"Feb 1, 2021",2021-02-01,35
32,"Feb 2, 2021",2021-02-02,33
33,"Feb 3, 2021",2021-02-03,34
34,"Feb 4, 2021",2021-02-04,38
35,"Feb 5, 2021",2021-02-05,33
36,"Feb 6, 2021",2021-02-06,41
37,"Feb 7, 2021",2021-02-07,37
38,"Feb 8, 2021",2021-02-08,76
39,"Feb 9, 2021",2021-02-09,96
40,"Feb 10, 2021",2021-02-10,63
41,"Feb 11, 2021",2021-02-11,58
42,"Feb 12, 2021",2021-02-12,56
43,"Feb 13, 2021",2021-02-13,45
44,"Feb 14, 2021",2021-02-14,49
45,"Feb 15, 2021",2021-02-15,51
46,"Feb 16, 2021",2021-02-16,59
47,"Feb 17, 2021",2021-02-17,66
48,"Feb 18, 2021",2021-02-18,57
49,"Feb 19, 2021",2021-02-19,67
50,"Feb 20, 2021",2021-02-20,71
51,"Feb 21, 2021",2021-02-21,62
52,"Feb 22, 2021",2021-02-22,74
53,"Feb 23, 2021",2021-02-23,91
54,"Feb 24, 2021",2021-02-24,71
55,"Feb 25, 2021",2021-02-25,56
56,"Feb 26, 2021",2021-02-26,58
57,"Feb 27, 2021",2021-02-27,47
58,"Feb 28, 2021",2021-02-28,50
59,"Mar 1, 2021",2021-03-01,49
60,"Mar 2, 2021",2021-03-02,45
61,"Mar 3, 2021",2021-03-03,41
62,"Mar 4, 2021",2021-03-04,38
63,"Mar 5, 2021",2021-03-05,40
64,"Mar 6, 2021",2021-03-06,35
65,"Mar 7, 2021",2021-03-07,36
66,"Mar 8, 2021",2021-03-08,39
67,"Mar 9, 2021",2021-03-09,47
68,"Mar 10, 2021",2021-03-10,43
69,"Mar 11, 2021",2021-03-11,41
70,"Mar 12, 2021",2021-03-12,42
71,"Mar 13, 2021",2021-03-13,54
72,"Mar 14, 2021",2021-03-14,52
73,"Mar 15, 2021",2021-03-15,47
74,"Mar 16, 2021",2021-03-16,43
75,"Mar 17, 2021",2021-03-17,41
76,"Mar 18, 2021",2021-03-18,40
77,"Mar 19, 2021",2021-03-19,37
78,"Mar 20, 2021",2021-03-20,34
79,"Mar 21, 2021",2021-03-21,34
80,"Mar 22, 2021",2021-03-22,37
81,"Mar 23, 2021",2021-03-23,38
82,"Mar 24, 2021",2021-03-24,43
83,"Mar 25, 2021",2021-03-25,45
84,"Mar 26, 2021",2021-03-26,40
85,"Mar 27, 2021",2021-03-27,33
86,"Mar 28, 2021",2021-03-28,32
87,"Mar 29, 2021",2021-03-29,36
88,"Mar 30, 2021",2021-03-30,39
